timestamp,event_type,global_x,global_y,rel_x,rel_y,button
1767790271.4906998,press,270,41,214,9,Button.left
1767790271.6126783,release,270,41,214,9,Button.left
1767790274.0286758,press,360,606,304,574,Button.left
1767790274.1406758,release,360,606,304,574,Button.left
1767790281.626795,press,272,893,216,861,Button.left
1767790281.7227442,release,272,893,216,861,Button.left
1767790282.6286407,press,278,734,222,702,Button.left
1767790282.732667,release,278,734,222,702,Button.left
1767790285.352664,press,202,901,146,869,Button.left
1767790285.4526644,release,202,901,146,869,Button.left
1767790286.338601,press,403,446,347,414,Button.left
1767790286.410663,release,403,446,347,414,Button.left
1767790288.7046607,press,418,895,362,863,Button.left
1767790288.7906442,release,418,895,362,863,Button.left
1767790289.8426592,press,262,589,206,557,Button.left
1767790289.935911,release,262,589,206,557,Button.left
1767790292.3664722,press,203,894,147,862,Button.left
1767790292.4726574,release,203,894,147,862,Button.left
1767790293.488302,press,409,882,353,850,Button.left
1767790293.572656,release,409,882,353,850,Button.left
1767790294.5286546,press,292,634,236,602,Button.left
1767790294.5846546,release,292,634,236,602,Button.left
1767790295.428658,press,199,890,143,858,Button.left
1767790295.5006537,release,199,891,143,859,Button.left
1767790296.4866533,press,276,507,220,475,Button.left
1767790296.5926523,release,276,507,220,475,Button.left
1767790299.2666495,press,199,903,143,871,Button.left
1767790299.336726,release,205,890,149,858,Button.left
1767790300.1426048,press,278,491,222,459,Button.left
1767790300.2447236,release,278,491,222,459,Button.left
1767790301.9286468,press,339,902,283,870,Button.left
1767790301.9888244,release,339,902,283,870,Button.left
1767790302.768646,press,142,560,86,528,Button.left
1767790302.8747118,release,139,562,83,530,Button.left
1767790313.6323156,press,422,879,366,847,Button.left
1767790313.7287133,release,422,879,366,847,Button.left
1767790314.4446342,press,358,455,302,423,Button.left
1767790314.5346339,release,358,456,302,424,Button.left
1767790326.414241,press,417,895,361,863,Button.left
1767790326.5186968,release,417,895,361,863,Button.left
1767790330.3447247,press,287,606,231,574,Button.left
1767790330.4845712,release,287,606,231,574,Button.left
1767790335.5126123,press,205,882,149,850,Button.left
1767790335.608004,release,205,882,149,850,Button.left
1767790337.1506107,press,382,488,326,456,Button.left
